row_id,language,part,unit,unit_title,source_markdown,line,figure_number,caption,image_alt_in_markdown,image_file,image_exists,image_dimensions,image_format,alt_text,long_description,decorative,review_status,reviewer,notes,zh_reference_caption,zh_reference_alt_text
ALT-0045,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,53,21-1,Figure 21-1: Data transformation pipeline in a RAG system,Figure 21-1: Data transformation pipeline in a RAG system,docs/images/part7/图21_1.svg,yes,9416x4728,svg,Data transformation pipeline in a RAG system.,"Review against the figure and surrounding text in Chapter 21: RAG Data Pipeline; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,Figure 21-1：RAG 系统中的数据变换链路,图21-1：RAG 系统中的数据变换链路
ALT-0046,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,82,21-2,Figure 21-2: Structural changes from a raw document to RAG-usable knowledge units,Figure 21-2: Structural changes from a raw document to RAG-usable knowledge units,docs/images/part7/图21_2.svg,yes,5816x4344,svg,Structural changes from a raw document to RAG-usable knowledge units.,,no,Draft,,,Figure 21-2：文档从原始形态到 RAG 可用知识单元的结构变化,图21-2：文档从原始形态到 RAG 可用知识单元的结构变化
ALT-0047,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,122,21-3,Figure 21-3: How RAG errors accumulate along the data pipeline,Figure 21-3: How RAG errors accumulate along the data pipeline,docs/images/part7/图21_3.svg,yes,3984x4236,svg,How RAG errors accumulate along the data pipeline.,"Review against the figure and surrounding text in Chapter 21: RAG Data Pipeline; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,Figure 21-3：RAG 错误如何沿数据链路累积,图21-3：RAG 错误如何沿数据链路累积
ALT-0048,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,229,21-4,"Figure 21-4: The bucket-stave effect on RAG system performance(copyright:DooFi, Public domain, via Wikimedia Commons)",Figure 21-4: The bucket-stave effect on RAG system performance,docs/images/part7/图21_4.svg,yes,1284x1174,svg,"The bucket-stave effect on RAG system performance(copyright:DooFi, Public domain, via Wikimedia Commons).",,no,Draft,,,"Figure 21-4：RAG 系统性能的短板效应 (版权所有：DooFi, Public domain, via Wikimedia Commons）",图21-4：RAG 系统性能的短板效应
ALT-0049,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,296,21-5,Figure 21-5: Layout parsing and structure reconstruction of complex documents,Figure 21-5: Layout parsing and structure reconstruction of complex documents,docs/images/part7/图21_5.svg,yes,6388x4500,svg,Layout parsing and structure reconstruction of complex documents.,,no,Draft,,,Figure 21-5：复杂文档的版面解析与结构还原,图21-5：复杂文档的版面解析与结构还原
ALT-0050,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,385,21-6,Figure 21-6: How different chunking strategies affect semantic integrity,Figure 21-6: How different chunking strategies affect semantic integrity,docs/images/part7/图21_6.svg,yes,6412x4644,svg,How different chunking strategies affect semantic integrity.,,no,Draft,,,Figure 21-6：不同切分策略对语义完整性的影响,图21-6：不同切分策略对语义完整性的影响
ALT-0051,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,445,21-7,Figure 21-7: Parent–child indexes and multi-granularity retrieval,Figure 21-7: Parent–child indexes and multi-granularity retrieval,docs/images/part7/图21_7.svg,yes,1273x709,svg,Parent–child indexes and multi-granularity retrieval.,,no,Draft,,,Figure 21-7：父子索引与多粒度检索结构,图21-7：父子索引与多粒度检索结构
ALT-0052,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,493,21-8,Figure 21-8: Two-stage retrieval with hybrid search and reranking,Figure 21-8: Two-stage retrieval with hybrid search and reranking,docs/images/part7/图21_8.svg,yes,1665x877,svg,Two-stage retrieval with hybrid search and reranking.,,no,Draft,,,Figure 21-8：混合检索与 Rerank 的两阶段检索流程,图21-8：混合检索与 Rerank 的两阶段检索流程
ALT-0053,en,Part 7: Application-Level Data Engineering,Ch21,Chapter 21: RAG Data Pipeline,docs/en/part7/ch21_rag_pipeline.md,625,21-9,"Figure 21-9: Evaluation, feedback, and optimization loop in a RAG system","Figure 21-9: Evaluation, feedback, and optimization loop in a RAG system",docs/images/part7/图21_9.svg,yes,8964x5644,svg,"Evaluation, feedback, and optimization loop in a RAG system.",,no,Draft,,,Figure 21-9：RAG 系统的评测、反馈与优化闭环,图21-9：RAG 系统的评测、反馈与优化闭环
ALT-0054,en,Part 7: Application-Level Data Engineering,Ch22,Chapter 22: Multimodal RAG and Visual Retrieval,docs/en/part7/ch22_multimodal_rag_visual_retrieval.md,54,22-1,Figure 22-1: The Capability Boundary Between OCR and Visual Understanding,Figure 22-1: The Capability Boundary Between OCR and Visual Understanding,docs/images/part7/图22_1.svg,yes,9508x5276,svg,The Capability Boundary Between OCR and Visual Understanding.,,no,Draft,,,Figure 22-1：OCR 与视觉理解的能力边界,图22-1：OCR 与视觉理解的能力边界
ALT-0055,en,Part 7: Application-Level Data Engineering,Ch22,Chapter 22: Multimodal RAG and Visual Retrieval,docs/en/part7/ch22_multimodal_rag_visual_retrieval.md,165,22-2,Figure 22-2: Joint Representation and Alignment of Text and Visual Elements,Figure 22-2: Joint Representation and Alignment of Text and Visual Elements,docs/images/part7/图22_2.svg,yes,1907x1068,svg,Joint Representation and Alignment of Text and Visual Elements.,,no,Draft,,,Figure 22-2：文本与视觉元素的联合表示与对齐,图22-2：文本与视觉元素的联合表示与对齐
ALT-0056,en,Part 7: Application-Level Data Engineering,Ch22,Chapter 22: Multimodal RAG and Visual Retrieval,docs/en/part7/ch22_multimodal_rag_visual_retrieval.md,243,22-3,Figure 22-3: Cross-modal Retrieval and Reranking Pipeline,Figure 22-3: Cross-modal Retrieval and Reranking Pipeline,docs/images/part7/图22_3.svg,yes,1013x940,svg,Cross-modal Retrieval and Reranking Pipeline.,"Review against the figure and surrounding text in Chapter 22: Multimodal RAG and Visual Retrieval; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,Figure 22-3：跨模态检索与重排序流程,图22-3：跨模态检索与重排序流程
ALT-0057,en,Part 7: Application-Level Data Engineering,Ch22,Chapter 22: Multimodal RAG and Visual Retrieval,docs/en/part7/ch22_multimodal_rag_visual_retrieval.md,353,22-4,Figure 22-4: Multimodal RAG Evaluation Funnel,Figure 22-4: Multimodal RAG Evaluation Funnel,docs/images/part7/图22_4.svg,yes,1107x1076,svg,Multimodal RAG Evaluation Funnel.,,no,Draft,,,Figure 22-4：多模态 RAG 评测漏斗,图22-4：多模态 RAG 评测漏斗
ALT-0058,en,Part 7: Application-Level Data Engineering,Ch22,Chapter 22: Multimodal RAG and Visual Retrieval,docs/en/part7/ch22_multimodal_rag_visual_retrieval.md,386,22-5,Figure 22-5: The Closed Loop from Error Attribution to Repair Actions,Figure 22-5: The Closed Loop from Error Attribution to Repair Actions,docs/images/part7/图22_5.svg,yes,1233x629,svg,The Closed Loop from Error Attribution to Repair Actions.,,no,Draft,,,Figure 22-5：错误归因到修复动作的闭环,图22-5：错误归因到修复动作的闭环
ALT-0059,en,Part 7: Application-Level Data Engineering,Ch23,Chapter 23: Online Feedback Loop and Knowledge Update,docs/en/part7/ch23_online_feedback_knowledge_update.md,70,23-1,Figure 23-1: From Offline Evaluation to the Online Real Problem Distribution,Figure 23-1: From Offline Evaluation to the Online Real Problem Distribution,docs/images/part7/图23_1.svg,yes,1200x687,svg,From Offline Evaluation to the Online Real Problem Distribution.,"Review against the figure and surrounding text in Chapter 23: Online Feedback Loop and Knowledge Update; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,Figure 23-1：从离线评测到线上真实问题分布,图23-1：从离线评测到线上真实问题分布
ALT-0060,en,Part 7: Application-Level Data Engineering,Ch23,Chapter 23: Online Feedback Loop and Knowledge Update,docs/en/part7/ch23_online_feedback_knowledge_update.md,155,23-2,Figure 23-2: The Online Feedback Data Flywheel for Large-Model Applications,Figure 23-2: The Online Feedback Data Flywheel for Large-Model Applications,docs/images/part7/图23_2.svg,yes,1192x674,svg,The Online Feedback Data Flywheel for Large-Model Applications.,,no,Draft,,,Figure 23-2：大模型应用的在线反馈数据飞轮,图23-2：大模型应用的在线反馈数据飞轮
ALT-0061,en,Part 7: Application-Level Data Engineering,Ch23,Chapter 23: Online Feedback Loop and Knowledge Update,docs/en/part7/ch23_online_feedback_knowledge_update.md,273,23-3,Figure 23-3: Online Feedback Event Collection and Routing Pipeline,Figure 23-3: Online Feedback Event Collection and Routing Pipeline,docs/images/part7/图23_3.svg,yes,1542x792,svg,Online Feedback Event Collection and Routing Pipeline.,"Review against the figure and surrounding text in Chapter 23: Online Feedback Loop and Knowledge Update; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,Figure 23-3：在线反馈事件采集与分流链路,图23-3：在线反馈事件采集与分流链路
ALT-0062,en,Part 7: Application-Level Data Engineering,Ch23,Chapter 23: Online Feedback Loop and Knowledge Update,docs/en/part7/ch23_online_feedback_knowledge_update.md,380,23-4,"Figure 23-4: Knowledge Update, Gray Release, and Rollback Governance Process","Figure 23-4: Knowledge Update, Gray Release, and Rollback Governance Process",docs/images/part7/图23_4.svg,yes,1476x621,svg,"Knowledge Update, Gray Release, and Rollback Governance Process.",,no,Draft,,,Figure 23-4：知识更新、灰度发布与回滚治理流程,图23-4：知识更新、灰度发布与回滚治理流程
ALT-0063,en,Part 8: Data Operations and Platform Development,Ch24,Chapter 24: DataOps Flywheel and Team Organization,docs/en/part8/ch24_dataops_flywheel_team.md,115,24-1,"Figure 24-1: The four-stage evolution path of LLM data teams from ""single-person scripts"" to ""platform-driven DataOps""",Figure 24-1: LLM Data Team Organizational Evolution Path,docs/images/part8/图24_1.svg,yes,7964x3948,svg,"The four-stage evolution path of LLM data teams from ""single-person scripts"" to ""platform-driven DataOps"".",,no,Draft,,,"图24-1：LLM 数据团队从""单人脚本""到""平台化 DataOps""的四阶段演进路径",图24-1：LLM数据团队组织演进路径
ALT-0064,en,Part 8: Data Operations and Platform Development,Ch24,Chapter 24: DataOps Flywheel and Team Organization,docs/en/part8/ch24_dataops_flywheel_team.md,285,24-2,"Figure 24-2: LLM Data Team DataOps Overview—An Integrated View of Roles, Interfaces, Flywheel, and Governance",Figure 24-2: DataOps Team Organization Overview,docs/images/part8/图24_2.svg,yes,1193x669,svg,"LLM Data Team DataOps Overview—An Integrated View of Roles, Interfaces, Flywheel, and Governance.",,no,Draft,,,图24-2：LLM 数据团队 DataOps 全景图——角色、接口、飞轮与治理的集成视图,图24-2：DataOps团队组织全景图
ALT-0065,en,Part 8: Data Operations and Platform Development,Ch24,Chapter 24: DataOps Flywheel and Team Organization,docs/en/part8/ch24_dataops_flywheel_team.md,318,24-3,"Figure 24-3: DataOps Flywheel Operating Mechanism—The Coordinated Cycle of Demand Pool, Data Pool, Experiment Pool, and Issue Pool",Figure 24-3: DataOps Flywheel Four-Pool Coordination Diagram,docs/images/part8/图24_3.svg,yes,901x913,svg,"DataOps Flywheel Operating Mechanism—The Coordinated Cycle of Demand Pool, Data Pool, Experiment Pool, and Issue Pool.",,no,Draft,,,图24-3：DataOps 飞轮运转机制——需求池、数据池、实验池、问题池的协同循环,图24-3：DataOps飞轮四池协同示意图
ALT-0066,en,Part 8: Data Operations and Platform Development,Ch25,Chapter 25: Data Version Management and Experiment Tracking,docs/en/part8/ch25_data_versioning_experiment_tracking.md,98,25-1,Figure 25-1: Panoramic view of the data version management and experiment tracking system—five-level version granularity with bidirectional association architecture,Figure 25-1: Overview of the Version Management System,docs/images/part8/图25_1.svg,yes,8808x4040,svg,Panoramic view of the data version management and experiment tracking system—five-level version granularity with bidirectional association architecture.,"Review against the figure and surrounding text in Chapter 25: Data Version Management and Experiment Tracking; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图25-1：数据版本管理与实验追踪体系全景架构图,图25-1：版本管理体系全景图
ALT-0067,en,Part 8: Data Operations and Platform Development,Ch25,Chapter 25: Data Version Management and Experiment Tracking,docs/en/part8/ch25_data_versioning_experiment_tracking.md,423,25-2,"Figure 25-2: Complete data lineage graph from data sources to model release, showing forward and reverse tracking paths",Figure 25-2: Data Lineage and Experiment Tracking Graph,docs/images/part8/图25_2.svg,yes,1538x670,svg,"Complete data lineage graph from data sources to model release, showing forward and reverse tracking paths.",,no,Draft,,,图25-2：从数据源到模型发布的完整数据谱系图，展示正向追踪与反向追踪路径,图25-2：数据谱系与实验追踪图
ALT-0068,en,Part 8: Data Operations and Platform Development,Ch26,Chapter 26: Data Platform Observability,docs/en/part8/ch26_data_platform_observability.md,333,26-1,Figure 26-1: LLM Data Platform Anomaly Attribution Decision Tree — Four-Level Diagnostic Path from Alert Trigger to Root-Cause Identification,Figure 26-1: Anomaly Attribution Decision Tree,docs/images/part8/图26_1.svg,yes,4552x6044,svg,LLM Data Platform Anomaly Attribution Decision Tree — Four-Level Diagnostic Path from Alert Trigger to Root-Cause Identification.,,no,Draft,,,图26-1：LLM 数据平台异常归因决策树——从告警触发到根因定位的四级诊断路径,图26-1：异常归因决策树
ALT-0069,en,Part 8: Data Operations and Platform Development,Ch26,Chapter 26: Data Platform Observability,docs/en/part8/ch26_data_platform_observability.md,483,26-2,Figure 26-2: LLM Data Platform Observability Panorama — Architecture of the Three-Layer Metric Hierarchy and the Three-Dimensional Operational Dashboard,Figure 26-2: Data Platform Observability Panorama,docs/images/part8/图26_2.svg,yes,1521x875,svg,LLM Data Platform Observability Panorama — Architecture of the Three-Layer Metric Hierarchy and the Three-Dimensional Operational Dashboard.,"Review against the figure and surrounding text in Chapter 26: Data Platform Observability; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图26-2：LLM 数据平台可观测性全景图,图26-2：平台可观测性全景图
ALT-0070,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch27,Chapter 27: Data Catalogs and Metadata Governance,docs/en/part9/ch27_data_catalog_and_metadata_governance.md,140,27-1,Figure 27-1: Data Asset Registration and Onboarding Workflow,Complete workflow from data asset creation to use,docs/images/part9/图27_1.svg,yes,1395x541,svg,Data Asset Registration and Onboarding Workflow.,"Review against the figure and surrounding text in Chapter 27: Data Catalogs and Metadata Governance; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图27-1：数据资产注册与上线流程,数据资产从创建到使用的完整流程
ALT-0071,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch27,Chapter 27: Data Catalogs and Metadata Governance,docs/en/part9/ch27_data_catalog_and_metadata_governance.md,286,27-2,Figure 27-2: Data Lineage Graph,Data Lineage Graph,docs/images/part9/图27_2.svg,yes,7352x4040,svg,"Data Lineage Graph. As shown in Figure 27-2, a single piece of raw data may simultaneously enter multiple processing chains and flow through multiple layers of transformation before reaching downstream applications such as training, retrieval, and evaluation, forming a directed acyclic graph (DAG).",,no,Draft,,,图27-2：数据血缘关系图,数据血缘关系图
ALT-0072,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch27,Chapter 27: Data Catalogs and Metadata Governance,docs/en/part9/ch27_data_catalog_and_metadata_governance.md,362,27-3,Figure 27-3: Data Asset Lifecycle State Machine,Data Asset Lifecycle State Transition Diagram,docs/images/part9/图27_3.svg,yes,8548x3452,svg,Data Asset Lifecycle State Machine.,,no,Draft,,,图27-3：数据资产的生命周期状态机,数据资产生命周期状态转移图
ALT-0073,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch27,Chapter 27: Data Catalogs and Metadata Governance,docs/en/part9/ch27_data_catalog_and_metadata_governance.md,502,27-4,Figure 27-4: Permissions Management Matrix Example,Permissions Management Matrix Based on Roles and Purposes,docs/images/part9/图27_4.svg,yes,1241x929,svg,Permissions Management Matrix Example.,"Review against the figure and surrounding text in Chapter 27: Data Catalogs and Metadata Governance; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图27-4：权限管理矩阵示例,基于角色和用途的权限管理矩阵
ALT-0074,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch28,Chapter 28: Data Productization and Data Contracts,docs/en/part9/ch28_data_productization_and_data_contracts.md,55,28-1,Figure 28-1: Data product canvas,Data product canvas,docs/images/part9/图28_1.svg,yes,9444x5844,svg,"Data product canvas. To build a real data product, the team must answer a structured set of questions: what upstream inputs does it consume, what outputs does it provide, what service quality does it promise, who owns it, and how will it evolve?",,no,Draft,,,图28-1：数据产品画布,数据产品画布
ALT-0075,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch28,Chapter 28: Data Productization and Data Contracts,docs/en/part9/ch28_data_productization_and_data_contracts.md,124,28-2,Figure 28-2: Data contract template,Data contract template with five clause groups,docs/images/part9/图28_2.svg,yes,5900x4308,svg,Data contract template. Putting the five clause groups together forms a complete data contract.,,no,Draft,,,图28-2：数据契约模板,Data Contract 模板：五类条款的结构
ALT-0076,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch28,Chapter 28: Data Productization and Data Contracts,docs/en/part9/ch28_data_productization_and_data_contracts.md,202,28-3,Figure 28-3: Change compatibility decision tree,Change compatibility decision tree,docs/images/part9/图28_3.svg,yes,7752x4656,svg,Change compatibility decision tree.,,no,Draft,,,图28-3：变更兼容性决策树,变更兼容性决策树
ALT-0077,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch28,Chapter 28: Data Productization and Data Contracts,docs/en/part9/ch28_data_productization_and_data_contracts.md,261,28-4,Figure 28-4: Consumer impact analysis,Consumer impact analysis,docs/images/part9/图28_4.svg,yes,1256x824,svg,"Consumer impact analysis. This table turns the impact of one change from vague concern into a row-level checklist: who is affected, how, how badly, and what to do.",,no,Draft,,,图28-4：消费者影响分析,消费者影响分析
ALT-0078,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch29,Chapter 29: Data Asset Valuation and Reuse Mechanisms,docs/en/part9/ch29_data_valuation_and_reuse.md,167,29-1,Figure 29-1: Data asset reuse paths,Multi-scenario data asset reuse paths,docs/images/part9/图29_1.svg,yes,7500x3704,svg,Data asset reuse paths. Many organizations fail to capture this value.,,no,Draft,,,图29-1：数据资产复用路径图,数据资产的多场景复用路径
ALT-0079,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch29,Chapter 29: Data Asset Valuation and Reuse Mechanisms,docs/en/part9/ch29_data_valuation_and_reuse.md,303,29-2,Figure 29-2: Cost-benefit matrix,Data asset cost-benefit matrix,docs/images/part9/图29_2.svg,yes,6728x4160,svg,Cost-benefit matrix. Real organizations manage hundreds or thousands of data assets.,"Review against the figure and surrounding text in Chapter 29: Data Asset Valuation and Reuse Mechanisms; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图29-2：成本—收益矩阵,数据资产成本—收益矩阵
ALT-0080,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch29,Chapter 29: Data Asset Valuation and Reuse Mechanisms,docs/en/part9/ch29_data_valuation_and_reuse.md,337,29-3,Figure 29-3: Asset review card,Data asset review card,docs/images/part9/图29_3.svg,yes,8896x5924,svg,Asset review card. Data value is not a static quantity that can be measured once and trusted forever.,,no,Draft,,,图29-3：资产复盘卡,数据资产复盘卡
ALT-0081,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch30,Chapter 30: Internal Data Market and Sharing Governance,docs/en/part9/ch30_internal_data_market_and_sharing_governance.md,92,30-1,Figure 30-1: Internal data market architecture,Internal data market architecture,docs/images/part9/图30_1.svg,yes,8700x5580,svg,Internal data market architecture.,"Review against the figure and surrounding text in Chapter 30: Internal Data Market and Sharing Governance; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图30-1：内部数据市场架构图,内部数据市场架构图
ALT-0082,en,"Part 9: Data Assets, Data Products, and Data Contracts",Ch30,Chapter 30: Internal Data Market and Sharing Governance,docs/en/part9/ch30_internal_data_market_and_sharing_governance.md,158,30-2,Figure 30-2: Authorization approval workflow,Authorization approval workflow,docs/images/part9/图30_2.svg,yes,8184x4896,svg,Authorization approval workflow.,"Review against the figure and surrounding text in Chapter 30: Internal Data Market and Sharing Governance; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图30-2：授权审批流程,授权审批流程
ALT-0083,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch31,Chapter 31: Architecture and Task Boundaries of Data Engineering Agents,docs/en/part10/ch31_agent_architecture.md,122,31-1,Figure 31-1: Six-layer architecture for data engineering agents,Six-layer architecture for data engineering agents,docs/images/part10/ai_agent_decision_workflow_ch31_01.png,yes,1020x631,png,Six-layer architecture for data engineering agents.,"Review against the figure and surrounding text in Chapter 31: Architecture and Task Boundaries of Data Engineering Agents; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图31-1：数据工程 Agent 六层架构图,数据工程 Agent 六层架构图
ALT-0084,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch31,Chapter 31: Architecture and Task Boundaries of Data Engineering Agents,docs/en/part10/ch31_agent_architecture.md,334,31-2,Figure 31-2: Human-AI collaboration flow by risk level,Human-AI collaboration flow by risk level,docs/images/part10/ai_agent_decision_workflow_ch31_02.png,yes,1057x655,png,Human-AI collaboration flow by risk level.,,no,Draft,,,图31-2：人机协同流程图——按风险等级分流,人机协同流程图——按风险等级分流
ALT-0085,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,56,32-1,Figure 32-1: Unified architecture for four-source collection agents,Unified architecture for four-source collection agents,docs/images/part10/ai_agent_decision_workflow_ch32_01.png,yes,1161x800,png,Unified architecture for four-source collection agents.,"Review against the figure and surrounding text in Chapter 32: Automated Collection, Parsing, and Cleaning Agents; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图32-1：四源采集 Agent 统一架构,四源采集 Agent 统一架构
ALT-0086,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,132,32-2,Figure 32-2: Parsing exception handling decision flow,Parsing exception handling decision flow,docs/images/part10/ai_agent_decision_workflow_ch32_02.png,yes,1187x642,png,Parsing exception handling decision flow.,,no,Draft,,,图32-2：解析异常处理决策流程,解析异常处理决策流程
ALT-0087,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,243,32-3,Figure 32-3: Tiered quality filtering pipeline,Tiered quality filtering pipeline,docs/images/part10/ai_agent_decision_workflow_ch32_03.png,yes,1067x622,png,Tiered quality filtering pipeline.,"Review against the figure and surrounding text in Chapter 32: Automated Collection, Parsing, and Cleaning Agents; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图32-3：质量过滤分级流水线,质量过滤分级流水线
ALT-0088,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch33,"Chapter 33: Labeling, Synthesis, and Evaluation Agents",docs/en/part10/ch33_labeling_synthesis_evaluation.md,50,33-1,Figure 33-1: Four dimensions of labeling-assistance agents,Four dimensions of labeling-assistance agents,docs/images/part10/ai_agent_decision_workflow_ch33_01.png,yes,1191x658,png,Four dimensions of labeling-assistance agents.,,no,Draft,,,图33-1：标注辅助 Agent 的四个维度,标注辅助 Agent 的四个维度
ALT-0089,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch33,"Chapter 33: Labeling, Synthesis, and Evaluation Agents",docs/en/part10/ch33_labeling_synthesis_evaluation.md,120,33-2,Figure 33-2: Synthetic data agent closed-loop pipeline,Synthetic data agent closed-loop pipeline,docs/images/part10/ai_agent_decision_workflow_ch33_02.png,yes,1158x645,png,Synthetic data agent closed-loop pipeline.,"Review against the figure and surrounding text in Chapter 33: Labeling, Synthesis, and Evaluation Agents; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图33-2：合成数据 Agent 闭环流水线,合成数据 Agent 闭环流水线
ALT-0090,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,52,34-1,Figure 34-1: Alert-to-root-cause agent flow,Alert-to-root-cause agent flow,docs/images/part10/ai_agent_decision_workflow_ch34_01.png,yes,1260x681,png,Alert-to-root-cause agent flow.,,no,Draft,,,图34-1：告警到根因定位 Agent 流程,告警到根因定位 Agent 流程
ALT-0091,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,144,34-2,Figure 34-2: Rollback approval workflow,Rollback approval workflow,docs/images/part10/ai_agent_decision_workflow_ch34_02.png,yes,1210x647,png,Rollback approval workflow.,"Review against the figure and surrounding text in Chapter 34: DataOps Agents and Platform Autonomy; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图34-2：回滚审批流程,回滚审批流程
ALT-0092,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,176,34-3,Figure 34-3: Pipeline self-healing decision flow,Pipeline self-healing decision flow,docs/images/part10/ai_agent_decision_workflow_ch34_03.png,yes,1111x627,png,Pipeline self-healing decision flow.,"Review against the figure and surrounding text in Chapter 34: DataOps Agents and Platform Autonomy; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图34-3：流水线自愈决策流程,流水线自愈决策流程
ALT-0093,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,80,35-1,Figure 35-1: Layered approval flow for agent permissions,Layered approval flow for agent permissions,docs/images/part10/ai_agent_decision_workflow_ch35_01.png,yes,1223x660,png,Layered approval flow for agent permissions.,,no,Draft,,,图35-1：Agent 权限分层审批流程,Agent 权限分层审批流程
ALT-0094,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,121,35-2,Figure 35-2: Layered prompt injection defense flow,Layered prompt injection defense flow,docs/images/part10/ai_agent_decision_workflow_ch35_02.png,yes,1260x1860,png,Layered prompt injection defense flow.,,no,Draft,,,图35-2：提示注入分层防御流程,提示注入分层防御流程
ALT-0095,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,238,35-3,Figure 35-3: Agent security incident response flow,Agent security incident response flow,docs/images/part10/ai_agent_decision_workflow_ch35_03.png,yes,1197x1846,png,Agent security incident response flow.,,no,Draft,,,图35-3：Agent 安全事件应急响应流程,Agent 安全事件应急响应流程
